Facility,Item Type Name,Item SkuCode,EAN,UPC,ISBN,Color,Size,Brand,Category Name,MRP,Open Sale,Inventory,Inventory Blocked,Bad Inventory,Putaway Pending,Pending Inventory Assessment,Return Awaited,Open Purchase,Enabled,Updated,Virtual Inventory
VENDORSKART MUNDKA 1 FACILITY,Car-DRL-8LED,VKAMLIGHT0034,1,SDL864744795,LED Company China,Dummy Red,China,Autofy,Vendorskart_Automotive,,0,16,0,1,0,0,0,0,true,2017-03-07 17:10:39,0
VENDORSKART MUNDKA 1 FACILITY,"Autofy LED Universal Strobe Lights for All Bikes (Set of 2, Silver)",VKAMLIGHT0035_Red-Blue,Set of 2,,Autofy India,Silver,India,Autofy India,Vendorskart_Automotive,999.00,0,26,0,1,0,0,0,0,true,2017-03-28 04:17:02,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Black Aluminium 6 LED Universal Aux Foglight Bar for All Bikes,VKAMLIGHT0036,1,,LED Company China,Black,China,Autofy,Vendorskart_Automotive,1599.00,0,136,0,0,0,0,0,0,true,2017-03-28 03:35:20,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Black Red Rubber Universal Handle Grip for All Bikes (Set of 2),VKAMGRIP0002,Set of 2,SDL004270966,Grip Company China,Black & Red,China,Autofy,Vendorskart_Automotive,599.00,15,0,0,0,0,0,0,0,true,2017-03-28 03:35:21,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Black Green Rubber Universal Handle Grip for All Bikes (Set of 2),VKAMGRIP0003,Set of 2,SDL005660522,Grip Company China,Black Green,China,Autofy,Vendorskart_Automotive,599.00,7,0,0,0,0,0,0,0,true,2017-03-28 03:35:22,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Black Square Aluminium 9 LED Universal Projector Fog Light for All Bikes,VKAMLIGHT0012,1,SDL017476842,LED Company China,Black,China,Autofy,Vendorskart_Automotive,1299.00,0,54,0,0,0,0,0,0,true,2017-03-28 04:17:02,0
VENDORSKART MUNDKA 1 FACILITY,Autofy U9 Black Universal Projector Fog Light for All Bikes,VKAMLIGHT0003_Black,1,SDL089926920,LED Company China,Black,China,Autofy,Vendorskart_Automotive,1599.00,52,0,0,3,0,0,0,0,true,2017-03-28 04:17:03,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Side Bag Black and Red Metal Clip for All Bikes,VKAMBAG0003,1,SDL091846159,Autofy - India,Dummy Red,India,Autofy,Vendorskart_Automotive,799.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:35:23,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Raptor Knee/Shin Guard Black Adjustable Plastic Free Size (Set of 2),VKAMGUARD0002,Set of 2,SDL096744851,Raptor-China,Black,China,Autofy,Vendorskart_Automotive,1299.00,0,8,0,0,0,0,0,0,true,2017-03-28 04:17:03,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Black 16LED Universal Side Indicator set for All Bikes (Set of 2),VKAMLIGHT0018,Set of 2,SDL100839008,LED Company China,Black,China,Autofy,Vendorskart_Automotive,599.00,0,72,0,0,0,0,0,0,true,2017-03-28 04:17:03,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Black Blue Rubber Universal Handle Grip for All Bikes (Set of 2),VKAMGRIP0001,Set of 2,SDL133712203,Grip Company China,Black Blue,China,Autofy,Vendorskart_Automotive,599.00,0,2,0,0,0,0,0,0,true,2017-03-28 03:35:24,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Black Round Aluminium 9 LED Universal Projector Fog Light for All Bikes,VKAMLIGHT0010,1,SDL205196306,LED Company China,Black Round Aluminium,China,Autofy,Vendorskart_Automotive,1299.00,0,228,0,3,0,0,0,0,true,2017-03-28 03:35:25,0
VENDORSKART MUNDKA 1 FACILITY,Autofy Side Bag Yellow Printed Magnetic Clip for All Bikes,VKAMBAG0010,1,SDL214088366,Autofy - India,Dummy Red,India,Autofy,Vendorskart_Automotive,799.00,0,0,0,0,0,0,0,0,true,2017-03-28 03:35:25,0
